"CubeId";"BSTA@SNB.MONA_US.BIL.PAS.VKE.KOV"
"PublishingDate";"2025-10-21 09:49"

"Date";"KONSOLIDIERUNGSSTUFE";"INLANDAUSLAND";"WAEHRUNG";"SEKTORESVG";"FAELLIGKEIT";"UEBERTRAGBARKEIT";"BANKENGRUPPE";"Value"
"2015-04";"U";"I";"T";"NFU";"ASI";"T";"A40";"143021000"
"2015-04";"U";"I";"T";"NFU";"KUE";"T";"A40";"34496000"
"2015-04";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"18196000"
"2015-04";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16300000"
"2015-04";"U";"I";"T";"NFU";"RLZ";"T";"A40";"18684000"
"2015-04";"U";"I";"T";"FUN";"T";"T";"A40";"156465000"
"2015-04";"U";"I";"T";"FUN";"ASI";"T";"A40";"98569000"
"2015-04";"U";"I";"T";"FUN";"KUE";"T";"A40";"22245000"
"2015-04";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"15192000"
"2015-04";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"7053000"
"2015-04";"U";"I";"T";"FUN";"RLZ";"T";"A40";"35653000"
"2015-04";"U";"I";"T";"FVW";"T";"T";"A40";"64441000"
"2015-04";"U";"I";"T";"FVW";"ASI";"T";"A40";"44735000"
"2015-04";"U";"I";"T";"FVW";"KUE";"T";"A40";"6635000"
"2015-04";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"4309000"
"2015-04";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"2326000"
"2015-04";"U";"I";"T";"FVW";"RLZ";"T";"A40";"13071000"
"2015-04";"U";"I";"CHF";"T";"T";"T";"A40";"840568000"
"2015-04";"U";"I";"CHF";"T";"ASI";"T";"A40";"295309000"
"2015-04";"U";"I";"CHF";"T";"KUE";"T";"A40";"492793000"
"2015-04";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"176315000"
"2015-04";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"316478000"
"2015-04";"U";"I";"CHF";"T";"RLZ";"T";"A40";"52468000"
"2015-04";"U";"I";"CHF";"NFU";"T";"T";"A40";"160451000"
"2015-04";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"111293000"
"2015-04";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"32841000"
"2015-04";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"16760000"
"2015-04";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"16081000"
"2015-04";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"16317000"
"2015-04";"U";"I";"CHF";"FUN";"T";"T";"A40";"119234000"
"2015-04";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"70753000"
"2015-04";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"21761000"
"2015-04";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"14806000"
"2015-04";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"6955000"
"2015-04";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"26720000"
"2015-04";"U";"I";"CHF";"FVW";"T";"T";"A40";"38471000"
"2015-04";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"26947000"
"2015-04";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"6372000"
"2015-04";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"4138000"
"2015-04";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"2234000"
"2015-04";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"5153000"
"2015-05";"U";"I";"T";"T";"T";"T";"A40";"962823000"
"2015-05";"U";"I";"T";"T";"ASI";"T";"A40";"392380000"
"2015-05";"U";"I";"T";"T";"KUE";"T";"A40";"503569000"
"2015-05";"U";"I";"T";"T";"KUE";"UEB";"A40";"183079000"
"2015-05";"U";"I";"T";"T";"KUE";"NUE";"A40";"320490000"
"2015-05";"U";"I";"T";"T";"RLZ";"T";"A40";"66873000"
"2015-05";"U";"I";"T";"NFU";"T";"T";"A40";"197748000"
"2015-05";"U";"I";"T";"NFU";"ASI";"T";"A40";"143618000"
"2015-05";"U";"I";"T";"NFU";"KUE";"T";"A40";"35493000"
"2015-05";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"19251000"
"2015-05";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16242000"
"2015-05";"U";"I";"T";"NFU";"RLZ";"T";"A40";"18634000"
"2015-05";"U";"I";"T";"FUN";"T";"T";"A40";"152488000"
"2015-05";"U";"I";"T";"FUN";"ASI";"T";"A40";"96438000"
"2015-05";"U";"I";"T";"FUN";"KUE";"T";"A40";"20626000"
"2015-05";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"13276000"
"2015-05";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"7350000"
"2015-05";"U";"I";"T";"FUN";"RLZ";"T";"A40";"35423000"
"2015-05";"U";"I";"T";"FVW";"T";"T";"A40";"63238000"
"2015-05";"U";"I";"T";"FVW";"ASI";"T";"A40";"44990000"
"2015-05";"U";"I";"T";"FVW";"KUE";"T";"A40";"5141000"
"2015-05";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"2699000"
"2015-05";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"2442000"
"2015-05";"U";"I";"T";"FVW";"RLZ";"T";"A40";"13106000"
"2015-05";"U";"I";"CHF";"T";"T";"T";"A40";"841869000"
"2015-05";"U";"I";"CHF";"T";"ASI";"T";"A40";"295532000"
"2015-05";"U";"I";"CHF";"T";"KUE";"T";"A40";"493560000"
"2015-05";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"176057000"
"2015-05";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"317503000"
"2015-05";"U";"I";"CHF";"T";"RLZ";"T";"A40";"52778000"
"2015-05";"U";"I";"CHF";"NFU";"T";"T";"A40";"161395000"
"2015-05";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"111463000"
"2015-05";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"33700000"
"2015-05";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"17667000"
"2015-05";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"16033000"
"2015-05";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"16231000"
"2015-05";"U";"I";"CHF";"FUN";"T";"T";"A40";"116081000"
"2015-05";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"69032000"
"2015-05";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"20183000"
"2015-05";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"12927000"
"2015-05";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"7256000"
"2015-05";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"26865000"
"2015-05";"U";"I";"CHF";"FVW";"T";"T";"A40";"37292000"
"2015-05";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"26902000"
"2015-05";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"4878000"
"2015-05";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"2524000"
"2015-05";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"2354000"
"2015-05";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"5513000"
"2015-06";"U";"I";"T";"T";"T";"T";"A40";"959231000"
"2015-06";"U";"I";"T";"T";"ASI";"T";"A40";"394103000"
"2015-06";"U";"I";"T";"T";"KUE";"T";"A40";"497920000"
"2015-06";"U";"I";"T";"T";"KUE";"UEB";"A40";"179294000"
"2015-06";"U";"I";"T";"T";"KUE";"NUE";"A40";"318626000"
"2015-06";"U";"I";"T";"T";"RLZ";"T";"A40";"67209000"
"2015-06";"U";"I";"T";"NFU";"T";"T";"A40";"199385000"
"2015-06";"U";"I";"T";"NFU";"ASI";"T";"A40";"145326000"
"2015-06";"U";"I";"T";"NFU";"KUE";"T";"A40";"35005000"
"2015-06";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"18718000"
"2015-06";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16287000"
"2015-06";"U";"I";"T";"NFU";"RLZ";"T";"A40";"19054000"
"2015-06";"U";"I";"T";"FUN";"T";"T";"A40";"152550000"
"2015-06";"U";"I";"T";"FUN";"ASI";"T";"A40";"98717000"
"2015-06";"U";"I";"T";"FUN";"KUE";"T";"A40";"18665000"
"2015-06";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"11684000"
"2015-06";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"6981000"
"2015-06";"U";"I";"T";"FUN";"RLZ";"T";"A40";"35168000"
"2015-06";"U";"I";"T";"FVW";"T";"T";"A40";"61346000"
"2015-06";"U";"I";"T";"FVW";"ASI";"T";"A40";"42651000"
"2015-06";"U";"I";"T";"FVW";"KUE";"T";"A40";"5285000"
"2015-06";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"2905000"
"2015-06";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"2380000"
"2015-06";"U";"I";"T";"FVW";"RLZ";"T";"A40";"13410000"
"2015-06";"U";"I";"CHF";"T";"T";"T";"A40";"838890000"
"2015-06";"U";"I";"CHF";"T";"ASI";"T";"A40";"299015000"
"2015-06";"U";"I";"CHF";"T";"KUE";"T";"A40";"487619000"
"2015-06";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"171953000"
"2015-06";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"315666000"
"2015-06";"U";"I";"CHF";"T";"RLZ";"T";"A40";"52256000"
"2015-06";"U";"I";"CHF";"NFU";"T";"T";"A40";"163418000"
"2015-06";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"113978000"
"2015-06";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"33133000"
"2015-06";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"17051000"
"2015-06";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"16082000"
"2015-06";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"16307000"
"2015-06";"U";"I";"CHF";"FUN";"T";"T";"A40";"116448000"
"2015-06";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"72210000"
"2015-06";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"17919000"
"2015-06";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"11035000"
"2015-06";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"6884000"
"2015-06";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"26319000"
"2015-06";"U";"I";"CHF";"FVW";"T";"T";"A40";"35563000"
"2015-06";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"25285000"
"2015-06";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"4717000"
"2015-06";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"2428000"
"2015-06";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"2289000"
"2015-06";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"5561000"
"2015-07";"U";"I";"T";"T";"T";"T";"A40";"965565000"
"2015-07";"U";"I";"T";"T";"ASI";"T";"A40";"399254000"
"2015-07";"U";"I";"T";"T";"KUE";"T";"A40";"500273000"
"2015-07";"U";"I";"T";"T";"KUE";"UEB";"A40";"180566000"
"2015-07";"U";"I";"T";"T";"KUE";"NUE";"A40";"319707000"
"2015-07";"U";"I";"T";"T";"RLZ";"T";"A40";"66038000"
"2015-07";"U";"I";"T";"NFU";"T";"T";"A40";"204308000"
"2015-07";"U";"I";"T";"NFU";"ASI";"T";"A40";"151016000"
"2015-07";"U";"I";"T";"NFU";"KUE";"T";"A40";"35439000"
"2015-07";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"19070000"
"2015-07";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16369000"
"2015-07";"U";"I";"T";"NFU";"RLZ";"T";"A40";"17853000"
"2015-07";"U";"I";"T";"FUN";"T";"T";"A40";"149983000"
"2015-07";"U";"I";"T";"FUN";"ASI";"T";"A40";"96555000"
"2015-07";"U";"I";"T";"FUN";"KUE";"T";"A40";"19082000"
"2015-07";"U";"I";"T";"FUN";"KUE";"UEB";"A40";"11954000"
"2015-07";"U";"I";"T";"FUN";"KUE";"NUE";"A40";"7128000"
"2015-07";"U";"I";"T";"FUN";"RLZ";"T";"A40";"34345000"
"2015-07";"U";"I";"T";"FVW";"T";"T";"A40";"60334000"
"2015-07";"U";"I";"T";"FVW";"ASI";"T";"A40";"42758000"
"2015-07";"U";"I";"T";"FVW";"KUE";"T";"A40";"5501000"
"2015-07";"U";"I";"T";"FVW";"KUE";"UEB";"A40";"3121000"
"2015-07";"U";"I";"T";"FVW";"KUE";"NUE";"A40";"2380000"
"2015-07";"U";"I";"T";"FVW";"RLZ";"T";"A40";"12075000"
"2015-07";"U";"I";"CHF";"T";"T";"T";"A40";"841917000"
"2015-07";"U";"I";"CHF";"T";"ASI";"T";"A40";"300132000"
"2015-07";"U";"I";"CHF";"T";"KUE";"T";"A40";"489535000"
"2015-07";"U";"I";"CHF";"T";"KUE";"UEB";"A40";"172780000"
"2015-07";"U";"I";"CHF";"T";"KUE";"NUE";"A40";"316755000"
"2015-07";"U";"I";"CHF";"T";"RLZ";"T";"A40";"52250000"
"2015-07";"U";"I";"CHF";"NFU";"T";"T";"A40";"166367000"
"2015-07";"U";"I";"CHF";"NFU";"ASI";"T";"A40";"117716000"
"2015-07";"U";"I";"CHF";"NFU";"KUE";"T";"A40";"33155000"
"2015-07";"U";"I";"CHF";"NFU";"KUE";"UEB";"A40";"16992000"
"2015-07";"U";"I";"CHF";"NFU";"KUE";"NUE";"A40";"16163000"
"2015-07";"U";"I";"CHF";"NFU";"RLZ";"T";"A40";"15496000"
"2015-07";"U";"I";"CHF";"FUN";"T";"T";"A40";"113843000"
"2015-07";"U";"I";"CHF";"FUN";"ASI";"T";"A40";"69073000"
"2015-07";"U";"I";"CHF";"FUN";"KUE";"T";"A40";"18349000"
"2015-07";"U";"I";"CHF";"FUN";"KUE";"UEB";"A40";"11320000"
"2015-07";"U";"I";"CHF";"FUN";"KUE";"NUE";"A40";"7029000"
"2015-07";"U";"I";"CHF";"FUN";"RLZ";"T";"A40";"26421000"
"2015-07";"U";"I";"CHF";"FVW";"T";"T";"A40";"34814000"
"2015-07";"U";"I";"CHF";"FVW";"ASI";"T";"A40";"24761000"
"2015-07";"U";"I";"CHF";"FVW";"KUE";"T";"A40";"4902000"
"2015-07";"U";"I";"CHF";"FVW";"KUE";"UEB";"A40";"2616000"
"2015-07";"U";"I";"CHF";"FVW";"KUE";"NUE";"A40";"2286000"
"2015-07";"U";"I";"CHF";"FVW";"RLZ";"T";"A40";"5151000"
"2015-08";"U";"I";"T";"T";"T";"T";"A40";"966104000"
"2015-08";"U";"I";"T";"T";"ASI";"T";"A40";"398500000"
"2015-08";"U";"I";"T";"T";"KUE";"T";"A40";"501117000"
"2015-08";"U";"I";"T";"T";"KUE";"UEB";"A40";"180910000"
"2015-08";"U";"I";"T";"T";"KUE";"NUE";"A40";"320207000"
"2015-08";"U";"I";"T";"T";"RLZ";"T";"A40";"66486000"
"2015-08";"U";"I";"T";"NFU";"T";"T";"A40";"204658000"
"2015-08";"U";"I";"T";"NFU";"ASI";"T";"A40";"150740000"
"2015-08";"U";"I";"T";"NFU";"KUE";"T";"A40";"35830000"
"2015-08";"U";"I";"T";"NFU";"KUE";"UEB";"A40";"19463000"
"2015-08";"U";"I";"T";"NFU";"KUE";"NUE";"A40";"16367000"
"2015-08";"U";"I";"T";"NFU";"RLZ";"T";"A40";"18087000"
"2015-08";"U";"I";"T";"FUN";"T";"T";"A40";"149450000"
"2015-08";"U";"I";"T";"FUN";"ASI";"T";"A40";"95684000"
"2015-08";"U";"I";"T";"FUN";"KUE";"T";"A40";"18397000"
